Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Secteur Touristique,2800000,112,3.0,3.0,2.0,Nouveau
Appartement,Hay Massira,1200000,85,3.0,3.0,2.0,Nouveau
Appartement,Riad Salam,1307000,78,3.0,2.0,2.0,Bon état
Appartement,Lekhiam,900000,85,6.0,2.0,2.0,Nouveau
Appartement,Hay Mohammadi,770000,82,4.0,3.0,2.0,Nouveau
Appartement,Extension Dakhla,1100000,113,3.0,2.0,2.0,Bon état
Appartement,Hay Houda,1000000,83,4.0,4.0,2.0,Nouveau
Villa,Cité Adrar,2600000,80,3.0,3.0,2.0,Nouveau
Appartement,Ben Serguaou,860000,73,3.0,3.0,2.0,Nouveau
Villa,Hay Salam,2200000,105,3.0,3.0,2.0,Nouveau
Villa,Haut Founty,3800000,147,4.0,4.0,2.0,Nouveau
Appartement,Riad Salam,650000,74,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,950000,93,3.0,2.0,2.0,Bon état
Appartement,Secteur Touristique,1750000,95,2.0,1.0,2.0,Bon état
Appartement,Founti,2600000,120,3.0,2.0,2.0,Nouveau
Appartement,Abattoirs,880000,85,1.0,2.0,1.0,Nouveau
Appartement,Hay Salam,530000,74,6.0,3.0,2.0,Bon état
Villa,Tilila,1750000,170,1.0,1.0,1.0,Nouveau
Appartement,Hay Salam,540000,64,3.0,3.0,1.0,Nouveau
Villa,Hay Mohammadi,1400000,75,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,420000,57,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,1300000,180,4.0,4.0,2.0,Nouveau
Appartement,Hay Mohammadi,840000,103,4.0,4.0,2.0,Nouveau
Villa,Tilila,2800000,112,13.0,6.0,4.0,Bon état
Appartement,Hay Houda,1200000,105,3.0,2.0,2.0,Bon état
Appartement,Hay Salam,750000,70,6.0,2.0,1.0,Bon état
Villa,Charaf,2225000,180,5.0,4.0,3.0,Bon état
